start_time,end_time,duration_min,is_ongoing
2026-06-02T17:07:09Z,2026-06-02T17:26:11Z,19,false
2026-06-08T06:03:15Z,2026-06-08T21:50:29Z,947,false
2026-06-08T21:50:29Z,2026-06-08T22:39:03Z,48,false
2026-06-08T22:39:03Z,2026-06-09T01:19:37Z,160,false
2026-06-09T01:19:37Z,2026-06-09T01:28:17Z,8,false
2026-07-24T00:14:22Z,2026-07-24T00:55:37Z,41,false
2026-07-24T06:54:22Z,2026-07-24T07:00:33Z,6,false
2026-07-24T16:44:03Z,2026-07-24T17:16:58Z,32,false
2026-07-25T00:15:52Z,2026-07-25T02:31:45Z,135,false
2026-07-25T02:31:45Z,2026-07-25T02:37:13Z,5,false
2026-08-29T14:01:44Z,2026-08-29T14:02:50Z,1,false
2026-08-29T14:49:32Z,2026-08-29T14:53:02Z,3,false
