start_time,end_time,duration_min,is_ongoing
2026-06-02T09:33:51Z,2026-06-02T09:40:11Z,6,false
2026-06-08T03:48:21Z,2026-06-08T04:19:31Z,31,false
2026-06-10T10:12:31Z,2026-06-10T10:19:31Z,7,false
2026-06-11T15:04:41Z,2026-06-11T15:07:31Z,2,false
2026-06-22T15:19:01Z,2026-06-22T15:27:10Z,8,false
2026-07-28T18:09:41Z,2026-07-28T18:15:01Z,5,false
2026-08-05T04:24:31Z,2026-08-05T09:27:11Z,302,false
2026-08-05T14:47:51Z,2026-08-05T14:52:01Z,4,false
2026-08-11T10:38:41Z,2026-08-11T15:11:21Z,272,false
2026-08-11T15:11:21Z,,,false
2026-08-11T15:54:11Z,,,false
2026-08-11T17:04:01Z,,,false
2026-08-11T19:22:51Z,,,false
2026-08-11T20:29:01Z,,,false
2026-08-11T21:31:31Z,,,false
2026-08-12T07:52:01Z,,,false
2026-08-12T12:50:11Z,,,false
2026-08-12T15:15:51Z,,,false
2026-08-12T16:03:11Z,,,false
