start_time,end_time,duration_min,is_ongoing
2026-06-02T18:34:31Z,2026-06-02T18:50:32Z,16,false
2026-06-04T06:43:08Z,2026-06-04T10:40:41Z,237,false
2026-06-04T10:40:41Z,2026-06-04T11:09:45Z,29,false
2026-06-06T10:11:01Z,2026-06-06T20:37:33Z,626,false
2026-06-06T20:37:33Z,2026-06-06T20:53:35Z,16,false
2026-06-08T04:57:28Z,2026-06-08T11:59:27Z,421,false
2026-06-08T11:59:27Z,2026-06-08T15:31:01Z,211,false
2026-06-08T15:31:01Z,2026-06-08T17:39:21Z,128,false
2026-06-08T17:39:21Z,2026-06-08T21:30:55Z,231,false
2026-06-08T21:30:55Z,2026-06-08T22:51:08Z,80,false
2026-06-08T22:51:08Z,2026-06-08T23:23:12Z,32,false
2026-06-09T07:17:21Z,2026-06-09T10:30:51Z,193,false
2026-06-09T10:30:51Z,2026-06-09T13:23:15Z,172,false
2026-06-09T13:23:15Z,2026-06-09T13:44:18Z,21,false
2026-06-10T12:27:36Z,2026-06-10T13:31:51Z,64,false
2026-06-11T13:07:30Z,2026-06-12T00:52:13Z,704,false
2026-06-12T00:52:13Z,2026-06-12T06:34:03Z,341,false
2026-06-12T06:34:03Z,2026-06-12T12:01:48Z,327,false
2026-06-12T12:01:48Z,2026-06-12T16:23:25Z,261,false
2026-06-12T16:23:25Z,2026-06-12T20:19:57Z,236,false
2026-08-03T13:26:50Z,2026-08-03T13:53:54Z,27,false
2026-08-18T06:54:52Z,2026-08-18T07:03:54Z,9,false
2026-08-18T07:12:56Z,2026-08-18T08:06:03Z,53,false
2026-08-20T09:20:09Z,2026-08-20T09:41:13Z,21,false
2026-08-20T10:25:20Z,2026-08-20T10:31:21Z,6,false
2026-08-29T06:54:02Z,2026-08-29T07:03:03Z,9,false
2026-08-29T12:38:55Z,2026-08-29T13:23:52Z,44,false
2026-08-29T17:44:31Z,2026-08-29T21:38:11Z,233,false
2026-08-30T17:50:11Z,2026-08-30T19:26:28Z,96,false
