start_time,end_time,duration_min,is_ongoing
2026-05-19T11:02:40.300000Z,,,false
2026-06-04T05:33:10.300000Z,,,false
2026-06-08T03:15:30.300000Z,,,false
2026-06-09T12:59:00.300000Z,2026-06-09T13:00:10.300000Z,1,false
2026-06-10T10:25:20.300000Z,2026-06-10T10:27:00.300000Z,1,false
2026-08-04T13:25:40.400000Z,2026-08-04T13:35:00.400000Z,9,false
2026-08-20T02:14:00.400000Z,2026-08-20T02:21:00.400000Z,7,false
2026-08-20T07:01:00.400000Z,2026-08-20T07:09:10.400000Z,8,false
2026-08-20T08:12:40.400000Z,2026-08-20T08:19:50.400000Z,7,false
2026-08-29T09:23:30.400000Z,2026-08-29T09:39:50.400000Z,16,false
