start_time,end_time,duration_min,is_ongoing
2026-05-28T13:41:00.100000Z,2026-05-28T15:23:40.100000Z,102,false
2026-06-08T03:47:20.100000Z,2026-06-08T03:53:40.100000Z,6,false
2026-06-14T07:44:10.100000Z,2026-06-14T07:45:40.100000Z,1,false
2026-06-15T07:09:50.100000Z,2026-06-15T07:12:50.100000Z,3,false
2026-06-15T09:44:50.100000Z,2026-06-15T09:55:10.100000Z,10,false
2026-08-20T08:43:10.200000Z,2026-08-20T08:48:10.100000Z,4,false
2026-08-24T02:37:00.100000Z,2026-08-24T02:45:50.100000Z,8,false
2026-08-24T03:38:40.100000Z,2026-08-24T04:01:00.100000Z,22,false
