start_time,end_time,duration_min,is_ongoing
2026-06-03T13:24:05.260000Z,2026-06-03T14:50:05.260000Z,86,false
2026-06-03T20:32:05.260000Z,2026-06-03T23:00:05.260000Z,148,false
2026-06-03T23:00:05.260000Z,2026-06-04T00:04:05.260000Z,64,false
2026-06-04T05:34:05.260000Z,2026-06-04T11:22:05.260000Z,348,false
2026-06-06T09:38:05.260000Z,2026-06-06T13:40:05.260000Z,242,false
2026-06-06T13:40:05.260000Z,2026-06-06T15:56:05.260000Z,136,false
2026-06-07T18:44:05.260000Z,2026-06-07T20:06:05.260000Z,82,false
