start_time,end_time,duration_min,is_ongoing
2026-05-19T05:54:10.200000Z,,,false
2026-06-04T06:22:30.200000Z,,,false
2026-06-08T04:37:40.200000Z,,,false
2026-06-11T13:25:20.200000Z,,,false
2026-06-30T09:07:20.200000Z,2026-06-30T09:09:10.200000Z,1,false
2026-07-14T08:50:30.200000Z,,,false
2026-08-20T01:35:50.200000Z,2026-08-20T01:39:20.200000Z,3,false
2026-08-20T04:02:50.200000Z,2026-08-20T04:05:20.200000Z,2,false
2026-08-21T08:21:20.200000Z,2026-08-21T08:22:30.200000Z,1,false
2026-08-27T06:43:10.200000Z,2026-08-27T06:45:20.200000Z,2,false
2026-08-28T09:24:00.200000Z,2026-08-28T09:34:00.200000Z,10,false
2026-08-29T04:58:00.200000Z,2026-08-29T06:08:00.300000Z,70,false
2026-08-29T10:01:50.200000Z,2026-08-29T10:11:20.200000Z,9,false
2026-08-30T15:23:10.200000Z,2026-08-30T15:51:10.200000Z,28,false
2026-08-30T19:36:50.200000Z,2026-08-30T20:51:50.200000Z,75,false
2026-08-30T20:51:50.200000Z,2026-08-30T21:33:50.200000Z,42,false
2026-08-31T01:27:10.200000Z,2026-08-31T01:35:20.200000Z,8,false
2026-08-31T07:09:20.200000Z,2026-08-31T07:28:20.200000Z,19,false
2026-09-01T08:25:30.200000Z,2026-09-01T08:33:50.200000Z,8,false
2026-09-02T10:07:40.200000Z,2026-09-02T10:09:50.200000Z,2,false
2026-09-04T06:56:30.200000Z,2026-09-04T06:59:30.200000Z,3,false
2026-09-04T10:06:30.200000Z,2026-09-04T10:12:10.200000Z,5,false
