start_time,end_time,duration_min,is_ongoing
2026-06-03T07:37:40.600000Z,2026-06-03T07:54:10.600000Z,16,false
2026-06-03T22:50:10.600000Z,2026-06-03T23:03:50.600000Z,13,false
2026-06-04T07:03:20.600000Z,2026-06-04T07:10:50.600000Z,7,false
2026-06-06T04:34:20.600000Z,2026-06-06T04:54:00.600000Z,19,false
2026-06-06T09:43:50.800000Z,2026-06-06T10:09:10.600000Z,25,false
2026-06-08T06:38:00.600000Z,2026-06-08T06:53:50.600000Z,15,false
2026-06-09T03:56:50.600000Z,2026-06-09T04:09:10.600000Z,12,false
2026-06-11T16:40:30.600000Z,2026-06-11T16:50:40.600000Z,10,false
2026-06-11T17:34:10.600000Z,2026-06-11T17:40:20.600000Z,6,false
2026-06-17T08:01:50.600000Z,2026-06-17T08:08:20.600000Z,6,false
2026-06-22T15:20:50.600000Z,2026-06-22T15:34:20.600000Z,13,false
2026-06-22T19:42:50.600000Z,2026-06-22T19:53:20.600000Z,10,false
2026-06-30T14:45:20.600000Z,2026-06-30T14:53:20.600000Z,8,false
2026-07-01T12:40:20.600000Z,2026-07-01T12:41:50.600000Z,1,false
2026-07-16T17:17:20.600000Z,2026-07-16T17:37:20.600000Z,20,false
2026-08-19T18:15:20.600000Z,2026-08-19T18:19:50.600000Z,4,false
2026-08-19T21:29:20.600000Z,2026-08-19T22:00:10.600000Z,30,false
2026-08-20T02:02:00.600000Z,2026-08-20T02:39:20.600000Z,37,false
2026-08-20T04:36:50.600000Z,,,true
