start_time,end_time,duration_min,is_ongoing
2026-06-02T08:10:10.200000Z,2026-06-02T08:21:30.100000Z,11,false
2026-06-04T02:30:20.200000Z,2026-06-04T02:33:40.200000Z,3,false
2026-06-08T04:33:00.100000Z,2026-06-08T05:26:40.200000Z,53,false
2026-07-06T10:01:30.200000Z,2026-07-06T10:02:50.200000Z,1,false
2026-08-04T11:13:50.200000Z,2026-08-04T11:41:30.200000Z,27,false
2026-08-04T13:12:40.200000Z,2026-08-04T13:27:30.200000Z,14,false
2026-08-19T21:20:50.200000Z,2026-08-19T21:36:10.100000Z,15,false
2026-08-19T23:15:40.200000Z,2026-08-19T23:25:40.200000Z,10,false
2026-08-20T01:48:50.200000Z,2026-08-20T02:18:50.200000Z,30,false
2026-08-20T04:22:10.200000Z,2026-08-20T04:31:50.100000Z,9,false
2026-08-21T07:56:20.200000Z,2026-08-21T08:11:00.200000Z,14,false
2026-08-29T06:17:40.200000Z,2026-08-29T06:37:50.200000Z,20,false
2026-08-29T09:26:00.200000Z,2026-08-29T09:38:00.200000Z,12,false
2026-08-30T13:43:40.100000Z,2026-08-30T14:05:10.200000Z,21,false
2026-08-30T21:03:10.200000Z,2026-08-30T21:29:50.200000Z,26,false
