start_time,end_time,duration_min,is_ongoing
2026-06-01T20:46:20.100000Z,2026-06-01T20:53:50.100000Z,7,false
2026-06-04T08:11:40.100000Z,2026-06-04T08:23:20.100000Z,11,false
2026-06-04T09:50:50.100000Z,2026-06-04T09:56:20.100000Z,5,false
2026-06-06T11:44:20.100000Z,2026-06-06T11:47:20.100000Z,3,false
2026-06-08T03:32:00.100000Z,2026-06-08T03:51:10.100000Z,19,false
2026-06-10T07:56:10.100000Z,2026-06-10T08:04:20.100000Z,8,false
2026-06-11T10:34:20.100000Z,2026-06-11T10:39:00.100000Z,4,false
2026-08-04T12:24:00.100000Z,2026-08-04T12:25:10.200000Z,1,false
2026-08-04T13:27:20.100000Z,2026-08-04T13:33:10.100000Z,5,false
2026-08-20T02:27:40.100000Z,2026-08-20T02:32:30.100000Z,4,false
2026-08-20T07:10:50.100000Z,2026-08-20T07:16:20.100000Z,5,false
2026-08-28T10:03:30.100000Z,2026-08-28T10:06:50.100000Z,3,false
2026-08-29T06:42:20.100000Z,2026-08-29T06:45:40.100000Z,3,false
2026-08-29T09:39:20.100000Z,2026-08-29T09:57:10.100000Z,17,false
