start_time,end_time,duration_min,is_ongoing
2026-06-02T10:13:20.300000Z,2026-06-02T11:34:00.300000Z,80,false
2026-06-04T07:17:50.300000Z,2026-06-04T09:25:30.300000Z,127,false
2026-06-08T04:42:30.300000Z,2026-06-08T08:46:30.300000Z,244,false
2026-06-22T15:18:00.300000Z,2026-06-22T21:24:30.300000Z,366,false
2026-07-16T17:23:50.300000Z,2026-07-16T19:44:00.400000Z,140,false
2026-08-20T04:50:50.300000Z,2026-08-20T05:42:30.300000Z,51,false
2026-08-20T06:41:30.300000Z,2026-08-20T08:17:40.300000Z,96,false
