start_time,end_time,duration_min,is_ongoing
2026-06-01T19:31:45Z,2026-06-01T19:48:36Z,16,false
2026-06-04T07:10:40Z,2026-06-04T07:23:37Z,12,false
2026-06-04T11:45:04Z,2026-06-04T11:54:18Z,9,false
2026-06-08T05:08:21Z,2026-06-08T05:19:09Z,10,false
2026-08-20T07:08:14Z,2026-08-20T07:18:54Z,10,false
2026-08-20T08:48:47Z,2026-08-20T09:17:43Z,28,false
2026-08-20T09:17:43Z,2026-08-20T09:34:55Z,17,false
2026-08-20T09:48:41Z,2026-08-20T10:06:41Z,18,false
2026-08-29T05:23:57Z,2026-08-29T05:35:47Z,11,false
