start_time,end_time,duration_min,is_ongoing
2026-06-01T20:20:41Z,2026-06-01T21:03:51Z,43,false
2026-06-06T11:06:31Z,2026-06-06T12:41:11Z,94,false
2026-06-08T03:30:31Z,2026-06-08T06:23:01Z,172,false
2026-06-09T06:00:41Z,2026-06-09T11:20:01Z,319,false
2026-06-10T07:54:41Z,2026-06-11T01:58:51Z,1084,false
2026-06-11T07:16:01Z,2026-06-18T01:10:01Z,9714,false
2026-06-18T07:35:21Z,2026-06-18T12:03:31Z,268,false
2026-07-30T02:01:11Z,2026-07-30T02:05:59Z,4,false
2026-08-29T09:55:50Z,2026-08-29T10:14:31Z,18,false
