start_time,end_time,duration_min,is_ongoing
2026-06-03T07:57:20Z,2026-06-03T08:10:23Z,13,false
2026-06-04T08:23:01Z,2026-06-04T09:51:13Z,88,false
2026-06-06T05:08:06Z,2026-06-06T05:32:10Z,24,false
2026-06-06T10:00:51Z,2026-06-06T11:33:05Z,92,false
2026-06-06T11:33:05Z,2026-06-06T12:49:14Z,76,false
2026-06-08T03:34:05Z,2026-06-08T07:44:41Z,250,false
2026-06-09T07:27:14Z,2026-06-09T07:57:17Z,30,false
2026-06-10T10:13:05Z,2026-06-10T11:01:13Z,48,false
2026-06-11T10:30:58Z,2026-06-11T10:59:01Z,28,false
2026-06-11T16:45:56Z,2026-06-11T17:30:02Z,44,false
2026-06-17T08:01:25Z,2026-06-17T08:04:26Z,3,false
2026-06-28T07:57:09Z,2026-06-28T10:02:29Z,125,false
2026-06-28T10:02:29Z,2026-06-28T11:43:43Z,101,false
2026-06-28T11:43:43Z,2026-06-28T12:10:49Z,27,false
2026-06-28T13:58:05Z,2026-06-28T14:24:08Z,26,false
2026-06-28T16:16:30Z,2026-06-28T16:34:31Z,18,false
2026-06-28T17:46:44Z,2026-06-28T22:00:21Z,253,false
2026-06-28T22:00:21Z,2026-06-29T00:52:48Z,172,false
2026-06-29T00:52:48Z,2026-06-29T11:45:22Z,652,false
2026-06-29T11:45:22Z,2026-06-29T11:52:24Z,7,false
2026-06-29T15:39:53Z,2026-06-29T16:04:58Z,25,false
2026-06-29T17:56:14Z,2026-06-29T19:39:27Z,103,false
2026-06-29T19:39:27Z,2026-06-29T20:34:36Z,55,false
2026-06-29T20:34:36Z,2026-06-29T20:48:37Z,14,false
2026-07-24T12:02:34Z,2026-07-24T12:29:40Z,27,false
2026-07-30T08:50:05Z,2026-07-30T08:56:06Z,6,false
2026-08-04T12:16:13Z,2026-08-04T12:30:15Z,14,false
2026-08-18T04:31:50Z,2026-08-18T05:14:58Z,43,false
2026-08-18T05:14:58Z,2026-08-18T05:42:02Z,27,false
2026-08-20T02:27:31Z,2026-08-20T03:01:36Z,34,false
2026-08-20T07:15:12Z,2026-08-20T07:53:17Z,38,false
2026-08-20T17:22:46Z,2026-08-20T17:24:47Z,2,false
2026-08-28T09:23:20Z,2026-08-28T09:38:23Z,15,false
2026-08-29T06:45:31Z,2026-08-29T07:04:34Z,19,false
2026-08-29T12:38:26Z,2026-08-29T13:21:06Z,42,false
2026-08-29T17:44:49Z,2026-08-29T18:34:56Z,50,false
