start_time,end_time,duration_min,is_ongoing
2026-05-19T16:36:20.200000Z,2026-05-19T16:48:00.200000Z,11,false
2026-06-03T23:02:50.200000Z,2026-06-03T23:10:20.200000Z,7,false
2026-06-04T07:01:10.200000Z,2026-06-04T07:19:20.200000Z,18,false
2026-06-08T05:52:50.200000Z,2026-06-08T05:59:20.200000Z,6,false
2026-06-08T06:58:30.200000Z,2026-06-08T07:00:40.200000Z,2,false
2026-06-09T03:58:20.200000Z,2026-06-09T04:14:40.200000Z,16,false
2026-06-22T15:24:30.200000Z,2026-06-22T15:40:30.200000Z,16,false
2026-08-19T23:22:40.200000Z,2026-08-19T23:30:20.200000Z,7,false
2026-08-20T02:21:00.200000Z,2026-08-20T02:25:20.200000Z,4,false
2026-08-29T05:43:00.200000Z,2026-08-29T05:56:30.200000Z,13,false
2026-08-29T11:22:10.200000Z,2026-08-29T11:43:20.300000Z,21,false
