start_time,end_time,duration_min,is_ongoing
2026-06-02T10:36:05.170000Z,2026-06-02T10:50:05.170000Z,14,false
2026-06-04T06:58:05.170000Z,2026-06-04T07:20:05.170000Z,22,false
2026-06-04T13:34:05.170000Z,2026-06-04T13:36:05.170000Z,2,false
2026-06-06T09:36:05.170000Z,2026-06-06T09:38:05.170000Z,2,false
2026-06-08T06:40:05.170000Z,2026-06-08T06:56:05.170000Z,16,false
2026-06-09T04:02:05.170000Z,2026-06-09T04:08:05.170000Z,6,false
2026-06-22T14:58:05.170000Z,2026-06-22T15:38:05.170000Z,40,false
2026-07-16T17:02:05.170000Z,2026-07-16T17:36:05.170000Z,34,false
2026-08-20T02:12:05.170000Z,2026-08-20T02:22:05.170000Z,10,false
2026-08-20T04:46:05.170000Z,,,true
