start_time,end_time,duration_min,is_ongoing
2026-06-02T09:08:15Z,2026-06-02T09:12:56Z,4,false
2026-06-04T07:18:29Z,2026-06-04T07:30:34Z,12,false
2026-06-06T10:17:52Z,2026-06-06T10:31:29Z,13,false
2026-06-08T06:58:57Z,2026-06-08T07:15:04Z,16,false
2026-06-22T15:16:55Z,2026-06-22T15:31:42Z,14,false
2026-08-19T23:36:56Z,2026-08-19T23:52:43Z,15,false
2026-08-29T05:30:59Z,2026-08-29T05:53:59Z,23,false
2026-08-29T10:47:44Z,2026-08-29T12:10:13Z,82,false
2026-08-30T15:54:08Z,2026-08-30T16:22:41Z,28,false
2026-08-30T16:55:27Z,2026-08-30T17:09:04Z,13,false
2026-08-30T21:51:01Z,2026-08-30T22:17:24Z,26,false
